Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
"Phonetic Systems, Inc.",02/13/2001,C900921922,7372,334611,4,37.50,110.00,9,"Formula Ventures, Ltd.","Formula Ventures, L.P.",-
"Phonetic Systems, Inc.",02/13/2001,C900921922,7372,334611,4,37.50,110.00,9,General Atlantic LLC,General Atlantic LLC,-
"Phonetic Systems, Inc.",02/13/2001,C900921922,7372,334611,4,37.50,110.00,9,MAGNUM COMMUNICATIONS FUND L P,Magma Venture Capital I (FKA: Magnum Communications Fund),-
"Phonetic Systems, Inc.",02/13/2001,C900921922,7372,334611,4,37.50,110.00,9,"Pitango Venture Capital Management Israel, Ltd.",Pitango Fund II,-
"Phonetic Systems, Inc.",02/13/2001,C900921922,7372,334611,4,37.50,110.00,9,Sadot Venture Capital Management 1992 Ltd,Sadot Research and Development Fund,-
"Phonetic Systems, Inc.",02/13/2001,C900921922,7372,334611,4,37.50,110.00,9,AT&T Inc,SBC Communications,-
"Phonetic Systems, Inc.",02/13/2001,C900921922,7372,334611,4,37.50,110.00,9,"Sonera Venture Partners, Ltd",Sonera Venture Capital,-
"Phonetic Systems, Inc.",02/13/2001,C900921922,7372,334611,4,37.50,110.00,9,Undisclosed Firm,Undisclosed Fund,-
Photoaccess Com Corp,10/01/2001,C901747497,7299,532220,3,0.40,2.50,2,Globespan Capital Partners,JAFCO USIT III,0.20
Photoaccess Com Corp,10/01/2001,C901747497,7299,532220,3,0.40,2.50,2,Undisclosed Firm,Undisclosed Fund,-
Photodigm Inc,12/21/2001,C901165002,-,-,2,4.80,9.00,6,Amt Capital Ltd,Advanced Material Partners - Unspecified Fund,-
Photodigm Inc,12/21/2001,C901165002,-,-,2,4.80,9.00,6,Arkoma Venture Partners LLC,Arkoma Venture Partners - Unspecified Fund,-
Photodigm Inc,12/21/2001,C901165002,-,-,2,4.80,9.00,6,Compass Technology Partners LP,Compass Venture Partners,-
Photodigm Inc,12/21/2001,C901165002,-,-,2,4.80,9.00,6,CORNING INNOVATION VENTURES,"Corning Innovation Ventures, L.P.",1.00
Photodigm Inc,12/21/2001,C901165002,-,-,2,4.80,9.00,6,TriQuint Semiconductor Inc,"TriQuint Semiconductor, Inc. - Unspecified Fund",-
Photodigm Inc,12/21/2001,C901165002,-,-,2,4.80,9.00,6,Cipio Partners Holding IV GmbH,West STEAG Partners GmbH - Unspecified Fund,-
Photon X LLC,01/01/2001,C901162631,3812,334511,1,17.50,40.50,3,Centerpoint Venture Partners LP,"CenterPoint Venture Fund III, L.P.",4.10
Photon X LLC,01/01/2001,C901162631,3812,334511,1,17.50,40.50,3,InterWest Partners LLC,InterWest Partners - Unspecified Fund,5.00
Photon X LLC,01/01/2001,C901162631,3812,334511,1,17.50,40.50,3,Undisclosed Firm,Undisclosed Fund,-
Photon X LLC,06/13/2001,C901162631,3812,334511,2,0.70,40.50,2,Centerpoint Venture Partners LP,"CenterPoint Venture Fund III, L.P.",0.20
Photon X LLC,06/13/2001,C901162631,3812,334511,2,0.70,40.50,2,InterWest Partners LLC,"InterWest Partners VIII, L.P.",-
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,3i,3i Technology Partners,-
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,AXXON CAPITAL L P,Axxon Capital LP,-
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,Boston Millennia Partners,"Boston Millennia Partners II, L.P.",4.93
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,Castile Ventures,"Castile Ventures, L.P.",5.00
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,Essex Investment Management Company LLC,Essex Investment Management Company LLC - Unspecified Fund,-
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,Intel Capital Corp,Intel Corporation,-
PhotonEx Corporation,08/01/2001,C900922308,3568,333613,3,90.00,214.40,12,JPMorgan Chase & Co,J.P. Morgan Direct Venture Capital Fund II,7.47
